mu_SmoltW[,1]	tau_SmoltW[,1]	mu_SmoltW[,2]	tau_SmoltW[,2]	mu_SmoltW[,3]	tau_SmoltW[,3]	mu_SmoltW[,4]	tau_SmoltW[,4]	mu_SmoltW[,5]	tau_SmoltW[,5]	mu_SmoltW[,6]	tau_SmoltW[,6]	mu_SmoltW[,7]	tau_SmoltW[,7]	mu_SmoltW[,8]	tau_SmoltW[,8]	mu_SmoltW[,9]	tau_SmoltW[,9]	mu_SmoltW[,10]	tau_SmoltW[,10]	mu_SmoltW[,11]	tau_SmoltW[,11]	mu_SmoltW[,12]	tau_SmoltW[,12]	mu_SmoltW[,13]	tau_SmoltW[,13]	mu_SmoltW[,14]	tau_SmoltW[,14]	mu_SmoltW[,15]	tau_SmoltW[,15]	mu_SmoltW[,16]	tau_SmoltW[,16]	mu_SmoltW[,17]	tau_SmoltW[,17]
6.58713395	48.795192692	3.385007022	12.264735188	5.959030453	2.510913043	2.894737215	1.83273588	NA	1	0.355910652	0.860873707	3.998064913	2.403019447	-0.614397	0.590259468	0.636590056	0.984463434	4.91144165	5.969500319	0.923397419	0.884938152	0.86515532	1.072245602	1.034630492	0.881260276	3.528958993	3.731027629	0.580551247	0.40616352	-10	10	-0.185502611	0.42267343
6.551026048	56.370079284	3.035049136	18.38038185	6.327349111	2.379694087	3.400525489	2.024435723	NA	1	-0.075109935	0.702259511	4.382091633	2.274155163	-0.531088707	0.614822883	1.343676484	45.979345104	5.29103781	8.150375893	0.820196044	0.893612245	1.170138837	1.175260371	-0.01755049	0.455341587	3.550249438	3.442395834	0.600525319	0.416912222	-10	10	0.004732523	0.448333218
6.674377031	41.528120941	3.425333742	14.776292549	6.17488654	2.764336559	3.34404485	1.891278241	NA	1	-0.241322797	0.721108552	4.518441133	2.717671633	-1.326140438	0.517013159	1.107757015	72.729407509	5.164521939	7.199987544	0.859860053	0.905997074	1.423083033	1.365070986	1.863305767	1.335862533	3.646226743	3.270449163	0.565978687	0.419391696	-10	10	0.957296407	0.520506303
6.712178255	42.505240507	3.290928544	31.801539348	6.525158682	2.623840236	3.579191533	2.289398958	NA	1	1.227679565	1.227718166	4.793138271	2.561290775	-0.275054141	0.665100635	1.15828587	32.344615475	5.082476771	8.739429637	1.180219925	1.006689723	1.559764358	1.402046824	1.458800461	0.512906782	3.409646983	3.881857399	0.021835149	0.35270223	-10	10	0.295017135	0.652278209
7.099631049	53.719647617	3.634850843	17.172650866	6.173482933	2.807114818	3.611980861	2.292832541	NA	1	1.7075886	1.61197058	4.611857774	2.774382657	-0.745373542	0.582638001	1.537126326	32.870115172	5.128992831	9.22736956	1.11584626	1.014815461	1.498742078	1.396240243	0.582602062	0.49405319	3.322763727	3.210268429	0.863517826	10.861294351	2.376810915	1.390068659	0.712108455	0.952685281
7.221002754	65.311407145	3.08370652	16.100366028	6.4360486	2.751882829	3.489705693	2.221144829	NA	1	1.3700697	1.328336632	4.472349398	2.721536297	-0.902962449	0.545490836	0.939796299	5.692215463	5.080605443	10.355599037	1.048518275	0.999261199	1.372383046	1.313512262	1.160648806	0.870239206	3.172272527	2.128935974	1.064887994	0.48544846	2.365278162	1.39100362	-0.662391158	0.480895037
7.313077043	64.41197295	3.446664571	19.052601168	6.272577905	2.772896765	3.736327051	2.338753331	NA	1	1.149005928	1.210338863	4.525181185	2.557932873	-0.978707506	0.555317407	0.762852798	11.197472235	5.087012523	33.470614221	0.984599636	0.976683736	1.482811766	1.418613138	1.109462605	0.386659735	3.077283619	3.356732356	1.37640729	0.507747048	2.038583739	1.168674507	0.057678506	0.558053243
7.442510297	77.058416201	3.6096536	66.478630803	6.353905585	2.796675838	3.890489822	2.355988497	NA	1	1.258156966	1.297622372	4.669674332	2.524284944	-0.197567792	0.680166354	0.662754981	13.733978971	5.264365339	81.519682588	1.463233411	1.204439245	1.638256635	1.518935654	1.071500187	0.296351784	3.483077406	3.795398645	1.149911093	0.460219584	1.621607561	1.123352074	-0.206559648	0.785927468
7.484551211	70.289958349	3.215953559	13.776770152	6.598846846	2.474290052	3.765159708	2.289930021	NA	1	1.624932253	1.557867802	4.742995472	2.634160614	-0.197877932	0.66457575	1.247020799	1.255538911	5.458780083	105.716368283	1.433533323	1.220238326	1.841705315	1.66502852	1.090289367	0.303149763	2.793981581	5.006485005	0.994819058	0.465902476	1.488174954	1.093676268	0.375232972	0.819118024
7.445186806	53.338164723	3.6117554	96.340985208	6.455046036	2.824590318	3.703038737	2.301849603	NA	1	1.810235236	1.702337732	4.599865642	2.712519743	-0.347485157	0.669067086	1.38366591	12.209523738	5.405462913	29.696616753	1.41910878	1.168519159	1.939912197	1.763069672	2.598290927	1.280134982	3.288731893	7.032412906	1.319539522	0.50722262	1.99464657	1.272264786	0.634254934	0.932560945
