M74[6]	M74[7]	M74[8]	M74[9]	M74[10]	M74[11]	M74[12]	M74[13]	M74[14]	M74[15]	M74[16]	M74[17]	M74[18]	M74[19]	M74[20]	M74[21]	M74[22]	M74[23]	M74[24]	M74[25]	M74[26]	M74[27]	M74[28]	M74[29]	M74[30]	M74[31]	M74[32]	M74[33]	M74[34]	M74[35]	M74[36]	M74[37]
0.819718	0.539878	0.211465	0.380707	0.263057	0.0265746	0.331283	0.123817	0.205941	0.265983	0.0419404	0.00119235	0.190912	0.108063	0.203824	0.080361	0.0721444	0.0285625	0.0297747	0.00134676	0.0392173	0.00234006	0.169485	0.0473228	0.0499774	0.0128838	0.0361106	0.00489972	0.0473669	0.0176178	0.10649	0.10649
0.364907	0.413653	0.40626	0.272159	0.245831	0.0763116	0.25924	0.181964	0.335644	0.339354	0.0220855	0.000923837	0.00328692	0.0724952	0.128688	0.236529	0.202971	0.0713353	0.034456	0.000933569	0.0869313	0.220927	0.0150237	0.218817	0.100604	0.0857742	0.0169471	0.00417991	0.00159999	0.0497186	0.0666387	0.0666387
0.707012	0.661693	0.373995	0.369258	0.158849	0.0680059	0.178468	0.179594	0.317615	0.411274	0.0175848	0.000115311	0.00143666	0.0350891	0.0389669	0.0698959	0.0798708	0.0328068	0.144358	0.0287651	0.00199919	0.00255773	0.000269627	0.0495507	0.0799305	0.0795436	0.00473457	0.00246247	0.0232364	0.0141646	8.66E-05	8.66E-05
0.506968	0.762153	0.406443	0.513945	0.258825	0.0479182	0.182189	0.087003	0.0775471	0.206067	0.00166286	0.0379751	0.0401199	0.00211577	0.217604	0.161144	0.154781	0.0798658	0.00857889	0.00230393	0.0439503	0.0242322	0.0112602	0.0690729	0.175533	0.110544	0.00608245	0.000418678	0.0293906	0.123893	0.0442576	0.0442576
0.356046	0.487521	0.586849	0.276892	0.542068	0.0122995	0.360728	0.136348	0.162041	0.19948	0.021792	0.00335451	0.0441656	0.0250151	0.143356	0.0891871	0.0977762	0.195972	0.0735758	0.00140118	0.00611908	0.0218098	0.0600201	0.0254437	0.0865361	0.192487	0.00930689	0.00142095	0.00451089	0.0196053	0.00425122	0.00425122
0.717748	0.636726	0.452179	0.330549	0.108252	0.187429	0.402941	0.0676172	0.376962	0.224586	0.0288643	0.035581	0.00598325	0.169908	0.0487539	0.269561	0.0751641	0.0357139	0.0891453	0.00621783	0.00401387	0.0179609	0.0715618	0.0683354	0.271606	0.0732125	0.00545727	0.0691445	0.00337526	0.0806572	0.0241125	0.0241125
0.62015	0.704173	0.341515	0.667168	0.239474	0.0160914	0.277312	0.121813	0.174841	0.162854	0.00290606	0.000648908	0.00210409	0.0381646	0.205694	0.021413	0.090008	0.0434347	0.0539929	0.000152286	0.000867866	0.000993937	0.0166995	0.158398	0.203578	0.0177541	9.15E-05	0.0228106	0.0534025	0.0418499	0.0162502	0.0162502
0.64562	0.383035	0.50641	0.471077	0.333581	0.0597419	0.450006	0.301493	0.318271	0.34897	0.0275388	0.00326762	0.0746129	0.0539971	0.0721062	0.045969	0.227677	0.215797	0.0151796	0.00645875	0.0600971	0.0551205	0.0817242	0.149794	0.105701	0.0337573	0.000214401	0.0502474	0.000229559	0.0196888	0.0619679	0.0619679
0.632909	0.393036	0.435834	0.304423	0.153486	0.000931903	0.411796	0.304677	0.295038	0.260941	0.00787133	0.025782	0.00338892	0.185023	0.0452437	0.0433828	0.0740608	0.129773	0.0532878	0.0288898	0.0103526	0.0274003	0.0220131	0.0775333	0.210809	0.0836808	0.0841247	0.00655797	0.00215344	0.0193546	0.101987	0.101987
0.69258	0.725634	0.398912	0.421398	0.440657	0.0340302	0.283958	0.0708793	0.256735	0.42439	0.0297608	0.0367742	0.0268397	0.086291	0.192286	0.282555	0.0674148	0.251935	0.00258105	0.018347	0.0485584	0.0135459	0.00069823	0.117629	0.11503	0.0618959	0.0214881	0.00192181	0.038092	0.09456	0.014222	0.014222
0.814773	0.546575	0.542079	0.347632	0.41596	0.00902721	0.297709	0.217819	0.217443	0.0850834	0.00248964	0.00715941	0.000159435	0.0403355	0.119985	0.069582	0.195032	0.125943	0.137024	0.00093058	0.0156117	0.00419267	0.0119964	0.188866	0.193733	0.100331	0.00100764	0.00170632	0.00691012	0.0501211	0.00591954	0.00591954
0.424091	0.478403	0.414574	0.469253	0.209936	0.0216351	0.27992	0.564666	0.164658	0.343558	0.00102517	0.000236686	0.000275509	0.0316422	0.0577978	0.0110302	0.0611321	0.0257938	0.0272567	0.000268186	0.000159299	0.123749	0.00318245	0.019129	0.157781	0.0803974	0.0146646	0.0245388	0.000739926	0.00680256	0.0212002	0.0212002
0.420374	0.765765	0.357058	0.371185	0.143783	0.0187498	0.296666	0.10643	0.0802675	0.183905	0.00637284	0.100198	0.0106731	0.0405564	0.102	0.0254518	0.0958474	0.128883	0.0883802	0.00277694	0.00219545	0.13626	0.00397606	0.014795	0.125254	0.0704323	0.00232944	0.00286054	0.084386	0.0186588	0.0324542	0.0324542
0.587146	0.659958	0.560975	0.463467	0.224081	0.058899	0.500632	0.319138	0.229819	0.216801	0.00422092	0.0402247	0.000703304	0.0201691	0.275187	0.0369138	0.106494	0.199769	0.133337	0.000140982	0.000121764	0.0586475	0.00266545	0.0325359	0.0821488	0.0294964	0.0322994	0.0241822	0.0036118	0.00187665	0.0735735	0.0735735
0.506743	0.486784	0.257416	0.68219	0.151443	0.130539	0.450894	0.176587	0.0794276	0.21	0.0543345	0.000455221	0.0528232	0.0202504	0.0148529	0.0856619	0.0158818	0.0359868	0.00503603	9.84E-05	0.0216137	0.135283	0.00685027	0.16281	0.162385	0.0456621	0.0202773	0.00112549	0.051299	0.0611265	0.0344549	0.0344549
0.801881	0.63525	0.23721	0.370483	0.141662	0.0147567	0.0818202	0.227287	0.156685	0.15427	0.00240478	0.0313954	0.00108698	0.0498165	0.0647599	0.0302184	0.0173182	0.0699364	0.0911939	0.000684865	0.00809535	0.0359096	0.0342273	0.228659	0.241487	0.0519841	0.0149788	0.038362	0.0363145	0.0080054	0.0808699	0.0808699
0.701781	0.854377	0.241546	0.470233	0.145156	0.00936227	0.136826	0.171516	0.113747	0.0834379	0.00466517	0.000490241	0.00185218	0.0493543	0.114754	0.0360073	0.0215611	0.187895	0.0140698	0.0202496	0.0896306	0.00869277	0.000349989	0.0905833	0.216935	0.04275	0.000731231	0.0294173	0.0288481	0.00238485	0.00535224	0.00535224
0.870103	0.728246	0.434913	0.499445	0.219773	0.0355978	0.317793	0.0964435	0.210296	0.2958	0.00264794	0.000316414	0.00983973	0.0913105	0.302696	0.0161922	0.170015	0.0298507	0.00773541	0.0285793	0.0497835	0.0160082	0.0165845	0.0174302	0.225209	0.0760953	0.000196077	0.0078721	0.000325288	0.0186799	0.0529279	0.0529279
0.515628	0.508242	0.539878	0.354636	0.405047	0.0804162	0.352096	0.327976	0.0811116	0.178143	0.00722799	0.00148157	0.0265994	0.129005	0.0774538	0.047825	0.220857	0.119253	0.0589637	0.00771152	0.0114936	0.130569	0.000906875	0.387033	0.29151	0.0131779	0.0162371	0.064959	0.0430241	0.0444594	0.131899	0.131899
0.370913	0.675219	0.548666	0.555968	0.182617	0.00389185	0.422125	0.127129	0.196547	0.430478	0.0528691	0.000601539	0.00413406	0.024087	0.1199	0.0308431	0.138291	0.238727	0.178908	0.000137149	0.132588	0.218282	0.0424523	0.109585	0.232013	0.044232	0.0367773	0.00120842	5.73E-05	0.0505794	0.00687818	0.00687818
